trial_id,feature_count,feature_columns,val_mae,val_rmse,iterations,model_name
823,7,expense_7d_mean|expense_7d_sum|has_expense|income_txn_count|is_weekend|net_30d_sum|txn_7d_sum,690.888916015625,957.058383799024,212,mlp_v4_regression
1809,7,daily_expense|expense_30d_sum|expense_7d_30d_ratio|expense_7d_sum|has_expense|is_summer_vacation|net_30d_sum,695.048095703125,972.4095716312135,176,mlp_v4_regression
1343,11,daily_expense|daily_net|expense_30d_mean|expense_7d_30d_ratio|expense_7d_sum|expense_trend|income_txn_count|is_summer_vacation|is_winter_vacation|net_30d_sum|txn_count,695.98193359375,959.3922555451446,300,mlp_v4_regression
1090,7,daily_income|expense_7d_mean|expense_7d_sum|net_30d_sum|net_7d_sum|txn_7d_sum|txn_count,697.7951049804688,964.6994350573655,212,mlp_v4_regression
671,7,expense_30d_sum|expense_7d_30d_ratio|expense_7d_mean|has_expense|is_winter_vacation|net_30d_sum|txn_count,697.8033447265625,972.6736670127345,176,mlp_v4_regression
1945,13,daily_expense|dow|expense_30d_sum|expense_7d_sum|has_expense|income_txn_count|is_weekend|is_winter_vacation|month|net_30d_sum|txn_30d_sum|txn_7d_sum|txn_count,698.3369140625,1007.2377760489328,244,mlp_v4_regression
807,12,daily_expense|daily_income|daily_net|expense_30d_mean|expense_30d_sum|expense_7d_sum|is_summer_vacation|is_weekend|is_winter_vacation|net_30d_sum|txn_30d_sum|txn_count,698.4149169921875,975.5314897531499,295,mlp_v4_regression
1195,8,expense_30d_sum|expense_7d_30d_ratio|expense_7d_mean|expense_trend|is_summer_vacation|is_weekend|net_30d_sum|txn_7d_sum,698.740478515625,980.9456215815432,237,mlp_v4_regression
1406,8,daily_income|expense_30d_sum|expense_7d_30d_ratio|expense_trend|is_summer_vacation|is_weekend|is_winter_vacation|net_30d_sum,699.9987182617188,962.8655474675579,298,mlp_v4_regression
1899,7,expense_7d_30d_ratio|expense_txn_count|has_expense|income_txn_count|is_weekend|is_winter_vacation|net_30d_sum,700.0833740234375,964.4600173153888,183,mlp_v4_regression
1745,8,daily_net|expense_trend|has_expense|has_income|is_summer_vacation|net_30d_sum|net_7d_sum|txn_7d_sum,700.4541015625,973.4410292873421,225,mlp_v4_regression
1939,11,daily_expense|daily_income|daily_net|expense_30d_sum|expense_7d_mean|income_txn_count|is_weekend|net_30d_sum|net_7d_sum|txn_7d_sum|txn_count,700.5548095703125,970.3842988733896,249,mlp_v4_regression
1620,9,daily_expense|expense_30d_sum|expense_7d_30d_ratio|expense_7d_sum|expense_trend|is_summer_vacation|net_30d_sum|txn_30d_sum|txn_7d_sum,701.6341552734375,996.2594102441392,299,mlp_v4_regression
1866,7,daily_income|expense_30d_sum|expense_7d_30d_ratio|income_txn_count|is_weekend|net_30d_sum|net_7d_sum,702.2244873046875,973.135364427786,129,mlp_v4_regression
1734,8,daily_net|expense_7d_sum|expense_trend|has_expense|is_summer_vacation|is_winter_vacation|net_30d_sum|net_7d_sum,703.4188232421875,969.8682900270531,287,mlp_v4_regression
242,10,daily_expense|daily_income|expense_7d_mean|has_expense|is_summer_vacation|is_weekend|is_winter_vacation|net_30d_sum|txn_30d_sum|txn_7d_sum,703.5684204101562,983.2575006070383,300,mlp_v4_regression
708,11,daily_expense|expense_30d_sum|expense_7d_30d_ratio|expense_7d_mean|expense_7d_sum|has_expense|has_income|income_txn_count|is_winter_vacation|net_30d_sum|txn_7d_sum,704.3986206054688,985.5346899018826,300,mlp_v4_regression
1262,8,daily_income|daily_net|expense_30d_mean|expense_30d_sum|expense_trend|has_income|income_txn_count|net_30d_sum,704.5335693359375,976.2694620339203,223,mlp_v4_regression
1236,12,daily_income|daily_net|expense_30d_sum|expense_7d_30d_ratio|expense_7d_sum|has_income|income_txn_count|is_weekend|net_30d_sum|net_7d_sum|txn_7d_sum|txn_count,704.66259765625,988.115567633665,295,mlp_v4_regression
1921,7,daily_expense|daily_income|expense_30d_sum|expense_trend|is_weekend|net_30d_sum|txn_count,704.6837768554688,976.4113823076829,176,mlp_v4_regression
80,7,daily_expense|daily_net|expense_30d_sum|income_txn_count|is_weekend|net_30d_sum|txn_7d_sum,705.2322387695312,966.8697882858891,176,mlp_v4_regression
618,7,daily_expense|dow|expense_trend|has_income|is_summer_vacation|net_30d_sum|txn_7d_sum,705.4003295898438,965.3132911133048,212,mlp_v4_regression
1817,13,expense_30d_mean|expense_30d_sum|expense_7d_30d_ratio|expense_7d_mean|expense_7d_sum|has_expense|is_summer_vacation|is_weekend|is_winter_vacation|net_30d_sum|net_7d_sum|txn_30d_sum|txn_7d_sum,706.0021362304688,997.415159299276,244,mlp_v4_regression
1105,8,daily_expense|expense_7d_sum|expense_trend|expense_txn_count|has_expense|is_weekend|is_winter_vacation|net_30d_sum,706.118896484375,972.2780595076698,159,mlp_v4_regression
1832,8,daily_expense|daily_income|expense_30d_sum|expense_7d_30d_ratio|expense_7d_sum|expense_trend|net_30d_sum|net_7d_sum,706.1891479492188,968.5700155383709,237,mlp_v4_regression
659,8,daily_expense|dow|expense_7d_30d_ratio|expense_7d_mean|expense_7d_sum|has_expense|is_summer_vacation|net_30d_sum,706.4622802734375,971.0629485259954,243,mlp_v4_regression
1215,8,expense_30d_sum|expense_txn_count|has_expense|is_summer_vacation|is_weekend|is_winter_vacation|net_30d_sum|txn_7d_sum,707.3218383789062,972.2949976730313,166,mlp_v4_regression
1022,8,daily_income|dow|expense_7d_30d_ratio|expense_trend|has_expense|income_txn_count|net_30d_sum|txn_count,708.2194213867188,975.6374198440731,247,mlp_v4_regression
510,8,expense_7d_30d_ratio|expense_7d_mean|expense_7d_sum|expense_trend|has_income|is_weekend|net_30d_sum|net_7d_sum,708.4074096679688,973.9740756303527,220,mlp_v4_regression
648,7,daily_expense|expense_30d_sum|has_income|is_weekend|net_30d_sum|txn_7d_sum|txn_count,708.8983764648438,970.8579324494393,176,mlp_v4_regression
547,12,expense_30d_mean|expense_7d_30d_ratio|expense_7d_mean|expense_7d_sum|expense_trend|income_txn_count|is_summer_vacation|is_weekend|net_30d_sum|txn_30d_sum|txn_7d_sum|txn_count,708.9776611328125,999.540894611121,300,mlp_v4_regression
1230,12,expense_30d_mean|expense_30d_sum|expense_7d_30d_ratio|expense_7d_mean|expense_trend|has_income|income_txn_count|is_summer_vacation|is_winter_vacation|net_30d_sum|net_7d_sum|txn_count,709.9403076171875,978.5940488782875,294,mlp_v4_regression
1066,9,daily_expense|daily_income|expense_7d_30d_ratio|expense_7d_mean|expense_trend|income_txn_count|is_winter_vacation|net_30d_sum|txn_30d_sum,710.302490234375,977.4979219926762,228,mlp_v4_regression
1888,10,daily_expense|expense_30d_mean|expense_30d_sum|expense_7d_sum|expense_trend|is_summer_vacation|is_weekend|is_winter_vacation|net_30d_sum|txn_7d_sum,710.3156127929688,989.982354640728,300,mlp_v4_regression
1625,13,daily_net|dow|expense_7d_30d_ratio|expense_7d_sum|has_expense|income_txn_count|is_weekend|is_winter_vacation|month|net_30d_sum|txn_30d_sum|txn_7d_sum|txn_count,710.4854736328125,1010.5425832195297,244,mlp_v4_regression
1419,11,daily_expense|daily_income|daily_net|expense_30d_mean|expense_30d_sum|expense_7d_mean|income_txn_count|is_summer_vacation|is_weekend|net_30d_sum|txn_7d_sum,710.7489624023438,982.0424507117806,300,mlp_v4_regression
1818,8,daily_income|dow|expense_30d_sum|expense_7d_sum|expense_trend|has_expense|is_winter_vacation|net_30d_sum,710.8831176757812,977.8430983547412,247,mlp_v4_regression
20,7,daily_income|expense_30d_mean|expense_30d_sum|expense_trend|income_txn_count|is_winter_vacation|net_30d_sum,710.9463500976562,983.8146738588523,176,mlp_v4_regression
1689,12,daily_income|daily_net|dow|expense_30d_sum|expense_7d_30d_ratio|expense_7d_mean|expense_trend|expense_txn_count|is_summer_vacation|is_winter_vacation|net_30d_sum|txn_count,711.0192260742188,991.9787674138998,218,mlp_v4_regression
1788,7,daily_expense|expense_trend|has_expense|income_txn_count|is_weekend|month|net_30d_sum,711.1259155273438,988.8970497478491,128,mlp_v4_regression
1287,10,daily_income|daily_net|dow|expense_7d_sum|expense_trend|expense_txn_count|is_summer_vacation|net_30d_sum|net_7d_sum|txn_count,711.3712768554688,975.790448815728,265,mlp_v4_regression
322,11,daily_expense|daily_income|expense_30d_mean|expense_30d_sum|expense_7d_30d_ratio|expense_7d_sum|expense_txn_count|is_weekend|is_winter_vacation|net_30d_sum|net_7d_sum,711.37158203125,990.826738133363,244,mlp_v4_regression
97,8,daily_expense|daily_net|expense_30d_sum|expense_7d_30d_ratio|has_expense|income_txn_count|net_30d_sum|txn_count,711.4437866210938,982.9790180873649,241,mlp_v4_regression
