trial_id,feature_count,feature_columns,val_mae,val_rmse,iterations,model_name
395,5,expense_30d_sum|expense_trend|income_txn_count|is_weekend|net_30d_sum,3359.229672604098,11517.234022526229,91,hgbr_v3_hgbr
854,5,expense_7d_30d_ratio|expense_7d_sum|expense_trend|expense_txn_count|net_30d_sum,3394.921780306321,11661.236708493703,108,hgbr_v3_hgbr
374,8,expense_7d_mean|expense_txn_count|has_income|is_weekend|net_30d_sum|net_7d_sum|txn_30d_sum|txn_7d_sum,3423.8183685198246,11540.541041318773,113,hgbr_v3_hgbr
910,16,dow|expense_30d_mean|expense_30d_sum|expense_7d_30d_ratio|expense_7d_mean|expense_7d_sum|expense_trend|has_expense|has_income|income_txn_count|is_weekend|is_winter_vacation|net_30d_sum|net_7d_sum|txn_30d_sum|txn_7d_sum,3424.185022042042,11623.341539903466,84,hgbr_v3_hgbr
577,12,expense_30d_mean|expense_30d_sum|expense_7d_30d_ratio|expense_7d_mean|expense_txn_count|has_expense|has_income|net_30d_sum|net_7d_sum|txn_30d_sum|txn_7d_sum|txn_count,3435.9189597085847,11574.136395937068,84,hgbr_v3_hgbr
110,5,daily_net|expense_30d_mean|expense_7d_30d_ratio|net_30d_sum|txn_30d_sum,3453.602061544816,11525.528438632771,91,hgbr_v3_hgbr
768,16,daily_expense|dow|expense_30d_mean|expense_7d_30d_ratio|expense_7d_mean|expense_trend|expense_txn_count|has_expense|has_income|is_weekend|is_winter_vacation|net_30d_sum|net_7d_sum|txn_30d_sum|txn_7d_sum|txn_count,3456.19539139838,11733.282697976634,83,hgbr_v3_hgbr
305,14,daily_income|daily_net|expense_30d_sum|expense_7d_30d_ratio|expense_7d_sum|expense_trend|has_expense|income_txn_count|month|net_30d_sum|net_7d_sum|txn_30d_sum|txn_7d_sum|txn_count,3473.6228126045908,11448.04543844247,82,hgbr_v3_hgbr
837,11,daily_income|expense_30d_sum|expense_7d_30d_ratio|expense_7d_sum|expense_trend|has_income|income_txn_count|net_30d_sum|txn_30d_sum|txn_7d_sum|txn_count,3474.04697259731,11563.907754349339,90,hgbr_v3_hgbr
736,12,daily_income|daily_net|days_to_end_of_month|expense_7d_sum|expense_trend|expense_txn_count|has_income|income_txn_count|month|net_30d_sum|net_7d_sum|txn_30d_sum,3477.9043473929137,11718.053444639585,95,hgbr_v3_hgbr
17,16,daily_income|dow|expense_30d_mean|expense_30d_sum|expense_7d_30d_ratio|expense_7d_mean|expense_7d_sum|expense_trend|expense_txn_count|income_txn_count|is_weekend|is_winter_vacation|month|net_30d_sum|net_7d_sum|txn_count,3485.0848151125138,11674.780298254887,80,hgbr_v3_hgbr
180,10,daily_income|daily_net|dow|expense_7d_mean|expense_7d_sum|expense_trend|has_income|is_weekend|net_30d_sum|txn_count,3487.0884224275496,11636.010200894449,99,hgbr_v3_hgbr
31,12,daily_expense|daily_income|daily_net|expense_7d_30d_ratio|expense_7d_mean|expense_7d_sum|expense_trend|expense_txn_count|has_income|income_txn_count|is_winter_vacation|net_30d_sum,3487.8408556065497,11689.897768996798,95,hgbr_v3_hgbr
696,16,daily_expense|daily_income|daily_net|expense_30d_sum|expense_7d_30d_ratio|expense_7d_mean|expense_7d_sum|expense_txn_count|has_expense|income_txn_count|is_winter_vacation|net_30d_sum|net_7d_sum|txn_30d_sum|txn_7d_sum|txn_count,3488.140544915657,11625.728539694037,81,hgbr_v3_hgbr
970,13,daily_income|daily_net|dow|expense_30d_mean|expense_30d_sum|expense_7d_sum|expense_trend|expense_txn_count|has_income|net_30d_sum|net_7d_sum|txn_7d_sum|txn_count,3488.199389886166,11517.588908203286,82,hgbr_v3_hgbr
189,10,daily_net|expense_30d_sum|expense_7d_mean|expense_7d_sum|expense_txn_count|income_txn_count|is_winter_vacation|net_30d_sum|net_7d_sum|txn_7d_sum,3493.0731427686687,11414.576414314399,86,hgbr_v3_hgbr
613,6,expense_30d_mean|expense_7d_mean|has_income|income_txn_count|is_winter_vacation|net_30d_sum,3494.005573629655,11689.922892405399,93,hgbr_v3_hgbr
370,11,daily_net|dow|expense_30d_mean|expense_7d_mean|expense_trend|has_expense|is_weekend|is_winter_vacation|month|net_30d_sum|txn_30d_sum,3497.2115770282553,11525.235983569019,93,hgbr_v3_hgbr
249,16,daily_expense|daily_income|dow|expense_30d_mean|expense_30d_sum|expense_7d_30d_ratio|expense_7d_sum|expense_trend|has_expense|has_income|is_weekend|is_winter_vacation|net_30d_sum|net_7d_sum|txn_7d_sum|txn_count,3502.125042168154,11699.955249909812,81,hgbr_v3_hgbr
105,9,daily_expense|expense_30d_mean|expense_7d_mean|expense_trend|has_income|income_txn_count|net_30d_sum|txn_30d_sum|txn_count,3502.1618124722895,11605.583888557065,86,hgbr_v3_hgbr
958,15,daily_expense|daily_income|daily_net|expense_30d_mean|expense_30d_sum|expense_7d_sum|expense_trend|income_txn_count|is_weekend|is_winter_vacation|net_30d_sum|net_7d_sum|txn_30d_sum|txn_7d_sum|txn_count,3505.3030885789854,11683.62253542859,81,hgbr_v3_hgbr
99,16,daily_income|daily_net|dow|expense_30d_mean|expense_30d_sum|expense_7d_30d_ratio|expense_7d_mean|expense_7d_sum|expense_txn_count|has_expense|income_txn_count|month|net_30d_sum|net_7d_sum|txn_30d_sum|txn_count,3505.693085161547,11479.87641371442,83,hgbr_v3_hgbr
506,16,daily_income|daily_net|dow|expense_30d_mean|expense_30d_sum|expense_7d_30d_ratio|expense_7d_mean|expense_7d_sum|expense_trend|has_expense|is_weekend|month|net_30d_sum|net_7d_sum|txn_30d_sum|txn_count,3507.901018421217,11500.810374907398,81,hgbr_v3_hgbr
254,9,days_to_end_of_month|dow|expense_30d_sum|expense_7d_mean|expense_7d_sum|expense_trend|has_income|is_weekend|net_30d_sum,3508.6648496971525,11741.548018232252,93,hgbr_v3_hgbr
