trial_id,feature_count,feature_columns,val_mae,val_rmse,iterations,model_name
409,7,expense_30d_mean|expense_30d_sum|expense_7d_30d_ratio|is_winter_vacation|net_30d_sum|txn_7d_sum|txn_count,682.084435144722,941.4754551141517,106,hgbr_v3_hgbr
43,10,daily_income|dow|expense_30d_mean|expense_7d_30d_ratio|expense_txn_count|is_weekend|is_winter_vacation|net_30d_sum|txn_7d_sum|txn_count,688.0484367839927,953.851401269345,86,hgbr_v3_hgbr
395,5,expense_30d_sum|expense_trend|income_txn_count|is_weekend|net_30d_sum,689.7004659743086,945.370124543111,91,hgbr_v3_hgbr
319,15,daily_expense|daily_income|dow|expense_30d_mean|expense_30d_sum|expense_7d_30d_ratio|expense_7d_mean|expense_7d_sum|has_expense|income_txn_count|is_weekend|net_30d_sum|net_7d_sum|txn_7d_sum|txn_count,691.6281131764906,966.9325801786925,49,hgbr_v3_hgbr
69,10,daily_expense|daily_income|dow|expense_30d_sum|expense_trend|expense_txn_count|has_expense|is_summer_vacation|net_30d_sum|txn_count,691.9840991401038,953.3525463507897,78,hgbr_v3_hgbr
980,15,daily_income|daily_net|dow|expense_30d_mean|expense_7d_30d_ratio|expense_7d_mean|expense_trend|expense_txn_count|has_expense|is_summer_vacation|is_weekend|is_winter_vacation|net_30d_sum|txn_7d_sum|txn_count,692.7592796775266,961.6390814924969,71,hgbr_v3_hgbr
498,6,expense_7d_30d_ratio|expense_7d_mean|expense_txn_count|net_30d_sum|net_7d_sum|txn_7d_sum,693.1301892456618,967.4520017114324,53,hgbr_v3_hgbr
381,14,daily_net|dow|expense_30d_mean|expense_7d_30d_ratio|expense_7d_mean|expense_trend|expense_txn_count|has_expense|income_txn_count|is_summer_vacation|is_winter_vacation|net_30d_sum|txn_7d_sum|txn_count,693.4768302606782,960.8243565563807,59,hgbr_v3_hgbr
103,6,daily_income|expense_30d_sum|expense_7d_mean|expense_txn_count|net_30d_sum|txn_7d_sum,693.4832713828362,963.4260900509211,67,hgbr_v3_hgbr
676,8,daily_expense|dow|expense_7d_30d_ratio|has_expense|has_income|is_summer_vacation|is_weekend|net_30d_sum,693.6764710880941,956.5780567895833,109,hgbr_v3_hgbr
446,10,daily_expense|daily_income|days_to_end_of_month|expense_30d_sum|expense_trend|has_income|is_summer_vacation|is_weekend|net_30d_sum|net_7d_sum,693.9780048920752,971.5435685739689,60,hgbr_v3_hgbr
993,13,daily_income|daily_net|expense_30d_mean|expense_30d_sum|expense_7d_sum|expense_trend|expense_txn_count|has_expense|has_income|income_txn_count|is_summer_vacation|net_30d_sum|txn_7d_sum,694.0576534433118,964.2093137199395,57,hgbr_v3_hgbr
783,7,daily_expense|expense_30d_sum|expense_7d_sum|has_expense|is_summer_vacation|net_30d_sum|txn_count,694.4606521731864,955.4880250143194,96,hgbr_v3_hgbr
31,12,daily_expense|daily_income|daily_net|expense_7d_30d_ratio|expense_7d_mean|expense_7d_sum|expense_trend|expense_txn_count|has_income|income_txn_count|is_winter_vacation|net_30d_sum,694.6446419985493,961.1581184257068,58,hgbr_v3_hgbr
998,8,daily_expense|daily_income|daily_net|expense_7d_mean|expense_trend|expense_txn_count|is_weekend|net_30d_sum,695.2034764920112,963.5171030009234,62,hgbr_v3_hgbr
854,5,expense_7d_30d_ratio|expense_7d_sum|expense_trend|expense_txn_count|net_30d_sum,695.2142389494416,955.6872070442053,89,hgbr_v3_hgbr
189,10,daily_net|expense_30d_sum|expense_7d_mean|expense_7d_sum|expense_txn_count|income_txn_count|is_winter_vacation|net_30d_sum|net_7d_sum|txn_7d_sum,695.5065295131283,972.5107761715235,61,hgbr_v3_hgbr
613,6,expense_30d_mean|expense_7d_mean|has_income|income_txn_count|is_winter_vacation|net_30d_sum,696.6389301017398,964.4318152006862,64,hgbr_v3_hgbr
875,7,daily_expense|dow|has_income|is_summer_vacation|is_weekend|net_30d_sum|net_7d_sum,697.4761041256259,973.120387840962,51,hgbr_v3_hgbr
599,15,daily_income|daily_net|expense_30d_mean|expense_7d_mean|expense_7d_sum|expense_trend|expense_txn_count|has_income|income_txn_count|is_summer_vacation|is_winter_vacation|net_30d_sum|net_7d_sum|txn_7d_sum|txn_count,697.497329466376,975.9211412690203,46,hgbr_v3_hgbr
528,11,daily_income|daily_net|day|expense_30d_mean|expense_7d_sum|expense_txn_count|has_income|income_txn_count|is_weekend|net_30d_sum|txn_count,697.8256322102387,969.1819409048132,45,hgbr_v3_hgbr
970,13,daily_income|daily_net|dow|expense_30d_mean|expense_30d_sum|expense_7d_sum|expense_trend|expense_txn_count|has_income|net_30d_sum|net_7d_sum|txn_7d_sum|txn_count,697.8365515121267,973.4986502627302,45,hgbr_v3_hgbr
